Experiment,Method,N,lr,sr,input_scaling,score
discrete_postcasting.small.N100,random.explore_top,100,0.9356673593071129,0.37828975168270085,457.3678880148178,2.2222222222223477e-05
continuous_postcasting.small.N100,fixed_lr.explore_top,100,1.0,0.6174020859021423,0.8662294595521647,0.00714734410867095
sinus_forecasting.small.N100,fixed_lr.explore_top,100,1.0,0.7249666881857036,0.3277876002884969,0.0008408901100593147
chaotic_forecasting.small.N100,multiple_instances.explore_top,100,1.0,0.6421270497814815,0.7378017874879285,0.00024712460070296967
discrete_pattern_completion.small.N100,fixed_lr.explore_top,100,1.0,0.6212957205603704,0.01654326069535711,0.09833333333333334
continuous_pattern_completion.small.N100,random.explore_top,100,0.9931942544691207,0.3765687254941636,3.2480066050962506,0.05930635184049606
simple_copy.small.N100,random.explore_top,100,0.19126890421302883,0.8048731097094768,0.09021847954354406,0.5253181818181819
selective_copy.small.N100,random.explore_top,100,0.011486037760795006,0.0012039513995009557,291.97847280633476,0.537
adding_problem.small.N100,random.explore_top,100,0.030365556595135065,0.06413318217084926,236.5884085794775,0.641
sorting_problem.small.N100,random.explore_top,100,0.03689329063162935,2.6639597714954924e-05,0.26675572752845755,0.509
bracket_matching.small.N100,random.explore_top,100,0.3891039437757808,1.4459347412570593,4.154927697858791,0.325
cross_situation.small.N100,random.explore_top,100,0.15678258913401144,0.7069625881397288,0.0007297141545009616,0.4131111111111111
