Experiment,Method,N,lr,sr,input_scaling,score
discrete_postcasting.small.N1000,fixed_lr.explore_top,1000,1.0,0.3755065495837404,16.403977931392184,0.0
continuous_postcasting.small.N1000,fixed_lr.explore_top,1000,1.0,0.4413732920373369,0.5978213342368668,0.0050926126539707186
sinus_forecasting.small.N1000,fixed_lr.explore_top,1000,1.0,0.8161533269684618,0.6989109480391775,0.00016648907591676872
chaotic_forecasting.small.N1000,fixed_lr.explore_top,1000,1.0,0.3869598527039206,0.45050875823872194,4.3090261286823506e-05
discrete_pattern_completion.small.N1000,fixed_lr.explore_top,1000,1.0,1.238175675123634,0.6933595718384667,0.06508333333333333
continuous_pattern_completion.small.N1000,random.explore_top,1000,0.533976189504708,1.008853308043201,4.557878778949787,0.07892969325184822
simple_copy.small.N1000,multiple_instances.explore_top,1000,1.0,1.0505357991755335,0.041566237312609104,0.056045454545454544
selective_copy.small.N1000,random.explore_top,1000,0.013230660385201081,0.0009715061457456282,9.276719641436566,0.4628
adding_problem.small.N1000,multiple_instances.explore_top,1000,0.09895753251769097,0.05138383014976867,2198.499802309367,0.62
sorting_problem.small.N1000,random.explore_top,1000,0.020618271962188336,0.019628338162755693,118.21277443727782,0.5106999999999999
bracket_matching.small.N1000,random.explore_top,1000,0.2544804697060697,0.8324023785829894,1.7198304971832985,0.254
cross_situation.small.N1000,random.explore_top,1000,0.08667063862249928,0.19500179376728202,0.0005558906139973089,0.42327777777777775
