Experiment,Method,N,lr,sr,input_scaling,score
discrete_postcasting.medium.N1000,multiple_instances.explore_top,1000,1.0,0.8104213359373873,0.1276515430751449,0.013981176470588219
continuous_postcasting.medium.N1000,multiple_instances.explore_top,1000,1.0,0.7648388312046382,0.5257210957097311,0.01051009763032198
sinus_forecasting.medium.N1000,fixed_lr.explore_top,1000,1.0,1.2246174280341144,0.5069062342937608,3.3128368415987213e-07
chaotic_forecasting.medium.N1000,fixed_lr.explore_top,1000,1.0,0.5816076209301011,1.347231863680425,3.1806360622746996e-05
discrete_pattern_completion.medium.N1000,multiple_instances.explore_top,1000,1.0,0.9547877200934043,0.03555808390546241,0.14696666666666666
continuous_pattern_completion.medium.N1000,random.explore_top,1000,0.5665414085029351,1.1498060926637106,6.035610395736109,0.07845921814441681
simple_copy.medium.N1000,random.explore_top,1000,0.20015953038696546,0.7854563642934446,0.10555981616432238,0.746966
selective_copy.medium.N1000,random.explore_top,1000,0.005525629329652994,5.313723484219076e-05,0.8219598720266282,0.6956800000000001
adding_problem.medium.N1000,multiple_instances.explore_top,1000,0.054227488290818374,0.00015614507894366321,571.2484582768357,0.8579000000000001
sorting_problem.medium.N1000,multiple_instances.explore_top,1000,0.05401351261115198,0.012216344723902798,72.24551463080518,0.7472549999999999
bracket_matching.medium.N1000,random.explore_top,1000,0.20972645449162147,0.820204784667357,250.3359597890111,0.24259999999999998
